entity_type,model,held_out_entity_id,held_out_entity,actual_bonus,predicted_bonus,alpha,gamma,delta,eta,ridge_penalty,error
driver,form_price,russell,George Russell,11.25,9.701306151,-0.51324949,-0.1208878428,13.05541995,,,-1.548693849
driver,form_price,leclerc,Charles Leclerc,10.75,6.105550262,-1.133756273,-0.1696150879,14.85168215,,,-4.644449738
driver,form_price,norris,Lando Norris,10.25,9.042565508,-0.6098804193,-0.1239611184,13.32535552,,,-1.207434492
driver,form_price,hadjar,Isack Hadjar,-0.25,7.142814737,-0.9073896732,-0.1436300728,14.99692199,,,7.392814737
driver,form_price,piastri,Oscar Piastri,7.5,8.307369831,-0.9439197351,-0.1450904878,14.52048498,,,0.8073698307
driver,form_price,gasly,Pierre Gasly,4.333333333,6.625445971,-0.8873576496,-0.1445617239,14.53185534,,,2.292112637
driver,form_price,lawson,Liam Lawson,8.75,4.860993648,-1.024263336,-0.1360121561,14.10215093,,,-3.889006352
driver,form_price,arvid_lindblad,Arvid Lindblad,-2,4.265504161,0.1648008413,-0.09106199695,11.90010767,,,6.265504161
driver,form_price,ocon,Esteban Ocon,6.75,5.713773255,-0.800936856,-0.1304553712,13.82281376,,,-1.036226745
driver,form_price,bortoleto,Gabriel Bortoleto,0.25,3.614797488,-0.1975667195,-0.107292332,12.63368008,,,3.364797488
driver,form_price,colapinto,Franco Colapinto,5.5,6.704732887,-0.9365730114,-0.1491491891,14.61414955,,,1.204732887
driver,form_price,sainz,Carlos Sainz,8,4.985417719,-0.7078512448,-0.1080286557,13.06842153,,,-3.014582281
driver,form_price,albon,Alexander Albon,7.75,1.264430352,-2.278515133,-0.1912923945,17.2723332,,,-6.485569648
driver,form_price,alonso,Fernando Alonso,2.5,2.846927715,-0.7636852491,-0.1343984824,13.94290625,,,0.3469277154
driver,form_price,bearman,Oliver Bearman,4,3.498087022,-0.8646623797,-0.135134378,14.07553359,,,-0.5019129776
driver,form_price,hulkenberg,Nico Hulkenberg,-2.75,1.612254534,0.6099622919,-0.07336874315,10.56403971,,,4.362254534
driver,form_price,perez,Sergio Perez,3.75,2.139766521,-1.036780057,-0.1345879464,14.29857601,,,-1.610233479
driver,form_price,bottas,Valtteri Bottas,0.25,2.513773167,-0.6670701164,-0.1565539531,14.32415431,,,2.263773167
driver,form_price,stroll,Lance Stroll,5.25,1.492013349,-0.8621899818,-0.0822933509,12.83510623,,,-3.757986651
driver,interaction,antonelli,Kimi Antonelli,10,5.751325783,-1.499939289,-0.2768207224,16.11782014,0.0895406707,,-4.248674217
driver,interaction,hamilton,Lewis Hamilton,7,7.255173509,-0.5283068157,-0.2289984984,12.36265048,0.1806504615,,0.2551735087
driver,interaction,max_verstappen,Max Verstappen,6.5,10.66398985,-0.8257131726,-0.273379122,12.99071177,0.2497094819,,4.163989847
driver,interaction,russell,George Russell,11.25,10.4627936,-0.4289815673,-0.2174725059,12.10775725,0.1657285875,,-0.7872064025
driver,interaction,leclerc,Charles Leclerc,10.75,5.906375965,-0.8682802195,-0.2773515819,13.18178816,0.1972329058,,-4.843624035
driver,interaction,norris,Lando Norris,10.25,9.2338968,-0.3967849819,-0.2196011419,11.93463559,0.1740346416,,-1.0161032
driver,interaction,hadjar,Isack Hadjar,-0.25,6.880596016,-0.7535222953,-0.2007654254,14.04211437,0.1065516874,,7.130596016
driver,interaction,piastri,Oscar Piastri,7.5,7.880261001,-0.6306787557,-0.2342008412,12.75795557,0.1745930452,,0.3802610011
driver,interaction,gasly,Pierre Gasly,4.333333333,6.144308682,-0.6534577736,-0.2263094516,13.08785032,0.1551586478,,1.810975349
driver,interaction,lawson,Liam Lawson,8.75,4.031578559,-0.7225765486,-0.2677148835,12.00386635,0.2442815509,,-4.718421441
driver,interaction,arvid_lindblad,Arvid Lindblad,-2,3.933199805,0.2475606825,-0.1448266168,11.18930049,0.0953812481,,5.933199805
driver,interaction,ocon,Esteban Ocon,6.75,5.015628631,-0.5026464967,-0.2360180827,11.92596984,0.2024466415,,-1.734371369
driver,interaction,bortoleto,Gabriel Bortoleto,0.25,3.149534595,-0.08501300386,-0.1868122566,11.6158688,0.1402819349,,2.899534595
driver,interaction,colapinto,Franco Colapinto,5.5,6.067335152,-0.6339732565,-0.2335353942,12.84335195,0.1698123164,,0.5673351519
driver,interaction,sainz,Carlos Sainz,8,4.328520413,-0.3709607578,-0.2211430686,10.94552213,0.2210994452,,-3.671479587
driver,interaction,albon,Alexander Albon,7.75,0.978320962,-2.04239624,-0.3082293239,15.57866461,0.2124545665,,-6.771679038
driver,interaction,alonso,Fernando Alonso,2.5,2.589874585,-0.5532936132,-0.2310175866,12.48143941,0.1775219436,,0.08987458547
driver,interaction,bearman,Oliver Bearman,4,3.197858159,-0.6328600442,-0.2335938874,12.51152789,0.1833364287,,-0.8021418409
driver,interaction,hulkenberg,Nico Hulkenberg,-2.75,1.842094724,0.9619733346,-0.1755098679,8.689926256,0.1956427453,,4.592094724
driver,interaction,perez,Sergio Perez,3.75,2.401912655,-0.7607769416,-0.2263828052,12.78726254,0.1700150389,,-1.348087345
driver,interaction,bottas,Valtteri Bottas,0.25,4.686096977,-0.1065302844,-0.3347039497,12.05941649,0.2934531645,,4.436096977
driver,interaction,stroll,Lance Stroll,5.25,2.319234859,-0.7281673935,-0.1414518481,12.34028182,0.08797032266,,-2.930765141
driver,constrained_proportional,antonelli,Kimi Antonelli,10,10.60457657,,0.3172309231,,,,0.6045765734
