period,entity_type,baseline_method,scale,estimator,model_variant,alpha,beta,standard_error_alpha,standard_error_beta,alpha_ci_lower,alpha_ci_upper,beta_ci_lower,beta_ci_upper,confidence_interval_alpha,confidence_interval_beta,r_squared,adjusted_r_squared,mae,rmse,bias,observation_count,sprint_event_count,excluded_observation_count,imputed_observation_count,condition_number
2024,driver,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,4.94278316401,0.90467681078,1.91763868911,0.126642313924,1.18421133335,8.70135499467,0.656457875489,1.15289574607,"[1.18421, 8.70135]","[0.656458, 1.1529]",0.30369755767,0.297746254744,10.8728613294,14.6017210126,5.3439978866e-15,119,6,1,0,21.5575852918
2024,driver,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,6.08304186378,0.791260115284,1.91157293809,0.121332219734,2.33635890511,9.82972482244,0.553448964605,1.02907126596,"[2.33636, 9.82972]","[0.553449, 1.02907]",0.266591519385,0.260323070833,11.0412205209,14.9857350818,4.92603157145e-15,119,6,1,0,21.7797079396
2024,driver,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,1.50956206169,1.134668527,2.08321827595,0.140646182055,-2.57354575917,5.59266988255,0.859002010172,1.41033504383,"[-2.57355, 5.59267]","[0.859002, 1.41034]",0.355491259286,0.350029320805,10.4427171772,13.9949074246,3.19744231092e-15,120,6,0,0,24.0179227952
2024,driver,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,2.85395291541,1.05826604323,1.98482548146,0.133964350747,-1.03630502824,6.74421085906,0.795695915762,1.32083617069,"[-1.03631, 6.74421]","[0.795696, 1.32084]",0.34591188579,0.340368766178,10.5613957511,14.0985274069,-1.30266168223e-15,120,6,0,4,22.7172556284
2024,driver,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,4.58115752114,0.945027898979,1.9018271924,0.127232792161,0.853576224032,8.30873881824,0.695651626344,1.19440417161,"[0.853576, 8.30874]","[0.695652, 1.1944]",0.318582751582,0.312808029137,10.7315996816,14.3900461065,3.67113746809e-15,120,6,0,0,21.5091658859
2024,constructor,strict_same_season_prior_normal_walk_forward,raw,OLS,hybrid,8.3674092832,1.0087152343,3.94789102973,0.109180917096,0.629542864939,16.1052757015,0.794720636795,1.22270983181,"[0.629543, 16.1053]","[0.794721, 1.22271]",0.595418159541,0.588442610568,15.1474311208,20.0168632933,-2.25597318604e-14,60,6,0,0,54.335855292
2024,constructor,recency_weighted_same_season_prior_normal_walk_forward,raw,OLS,hybrid_baseline_sensitivity,9.49824562607,0.947415394822,4.08179046389,0.109984319531,1.49793631685,17.4985549353,0.731846128541,1.1629846611,"[1.49794, 17.4986]","[0.731846, 1.16298]",0.561279547912,0.553715402186,15.4877612722,20.8442738673,-1.63424829225e-14,60,6,0,0,55.3696059621
2024,constructor,all_prior_weekends_adjusted_by_prior_global_sprint_factor,raw,OLS,hybrid_baseline_sensitivity,5.35752059413,1.07748782039,4.40953411453,0.123719497004,-3.28516627034,14.0002074586,0.834997606263,1.31997803452,"[-3.28517, 14.0002]","[0.834998, 1.31998]",0.56667508309,0.559203963832,16.3163528055,20.7157023116,-1.98359847066e-14,60,6,0,0,57.8060642418
2024,constructor,same_season_prior_normal_plus_previous_season_or_group_prior,raw,OLS,hybrid_shrunk_prior_sample,3.64092607839,1.1141545769,4.20717507319,0.116187907596,-4.60513706507,11.8869892218,0.886426278009,1.34188287579,"[-4.60514, 11.887]","[0.886426, 1.34188]",0.613213850963,0.606545124256,14.838411446,19.5716881409,-2.23820961764e-14,60,6,0,0,59.308043507
2024,constructor,descriptive_full_season_normal_non_predictive,raw,OLS,descriptive_hybrid_non_predictive,7.70612516436,1.01371666069,4.35531331412,0.121674284791,-0.830288931317,16.24253926,0.7752350625,1.25219825888,"[-0.830289, 16.2425]","[0.775235, 1.2522]",0.544784425413,0.536935881024,16.2293780549,21.232512406,-1.11318361936e-14,60,6,0,0,55.9438943513
