entity_type,entity_id,entity_name,normal_ev,normal_weekend_only_mean,median_normalised_score,recency_weighted_normal_ev,current_price,form_percentile,price_percentile,strength_definition,strength,form_price_correlation,form_price_percentile_correlation,form_price_vif
constructor,aston_martin,Aston Martin,-8.090909091,-11.14285714,-11,0.3796446645,5.7,0.09090909091,0.1818181818,blend_form_1.00_price_0.00,0.09090909091,,,
constructor,audi,Audi,12.6,18.16666667,13,16.30925294,6.8,0.3636363636,0.2727272727,blend_form_1.00_price_0.00,0.3636363636,,,
constructor,cadillac,Cadillac,-6.727272727,-17,-9,-13.9195565,3,0.1818181818,0.09090909091,blend_form_1.00_price_0.00,0.1818181818,,,
constructor,ferrari,Ferrari,63.18181818,61.28571429,69,64.75198211,26.6,0.9090909091,0.7272727273,blend_form_1.00_price_0.00,0.9090909091,,,
constructor,haas,Haas F1 Team,15.72727273,10.85714286,14,13.52800277,12,0.4545454545,0.3636363636,blend_form_1.00_price_0.00,0.4545454545,,,
constructor,mclaren,McLaren,42.45454545,47.14285714,49,47.8419563,31,0.7272727273,0.9090909091,blend_form_1.00_price_0.00,0.7272727273,,,
constructor,mercedes,Mercedes,72.45454545,70.71428571,71,65.35919726,32.6,1,1,blend_form_1.00_price_0.00,1,,,
constructor,rb,Racing Bulls,28.81818182,30.71428571,35,31.91897989,12.9,0.6363636364,0.4545454545,blend_form_1.00_price_0.00,0.6363636364,,,
constructor,red_bull,Red Bull Racing,43.36363636,50,42,51.26213611,30.9,0.8181818182,0.8181818182,blend_form_1.00_price_0.00,0.8181818182,,,
constructor,williams,Williams,9.2,8.857142857,9,8.576410434,13,0.2727272727,0.5454545455,blend_form_1.00_price_0.00,0.2727272727,,,
driver,albon,Alexander Albon,-2.272727273,2,3,-1.955561725,5.8,0.1363636364,0.2272727273,blend_form_1.00_price_0.00,0.1363636364,,,
driver,alonso,Fernando Alonso,-0.4545454545,1.428571429,5,3.019300678,6.2,0.2727272727,0.2727272727,blend_form_1.00_price_0.00,0.2727272727,,,
driver,antonelli,Kimi Antonelli,35.36363636,33.42857143,38,30.27336539,25.7,1,0.8636363636,blend_form_1.00_price_0.00,1,,,
driver,arvid_lindblad,Arvid Lindblad,6.545454545,8.428571429,6,6.524602946,8,0.4545454545,0.4090909091,blend_form_1.00_price_0.00,0.4545454545,,,
driver,bearman,Oliver Bearman,4.818181818,0.8571428571,7,3.818083937,7.6,0.3181818182,0.3181818182,blend_form_1.00_price_0.00,0.3181818182,,,
driver,bortoleto,Gabriel Bortoleto,5.818181818,7.285714286,7,7.734819253,7.8,0.4090909091,0.3636363636,blend_form_1.00_price_0.00,0.4090909091,,,
driver,bottas,Valtteri Bottas,-5.545454545,-12,1,-7.354646962,3,0.09090909091,0.09090909091,blend_form_1.00_price_0.00,0.09090909091,,,
driver,colapinto,Franco Colapinto,10.1,6.666666667,9,9.783099648,11.2,0.5909090909,0.5909090909,blend_form_1.00_price_0.00,0.5909090909,,,
driver,gasly,Pierre Gasly,10.2,12,12,10.10904654,13,0.6363636364,0.6363636364,blend_form_1.00_price_0.00,0.6363636364,,,
driver,hadjar,Isack Hadjar,12.63636364,15.14285714,16,18.25929909,14.5,0.7272727273,0.6818181818,blend_form_1.00_price_0.00,0.7272727273,,,
driver,hamilton,Lewis Hamilton,28.72727273,28.71428571,27,28.30524828,25,0.9545454545,0.8181818182,blend_form_1.00_price_0.00,0.9545454545,,,
