season,round,event_name,event_date,weekend_format,driver_rows,driver_active_asset_count,driver_total_points,driver_mean_points_per_asset,driver_median_points_per_asset,driver_min_points,driver_max_points,driver_negative_score_count,driver_zero_score_count,constructor_rows,constructor_active_asset_count,constructor_total_points,constructor_mean_points_per_asset,constructor_median_points_per_asset,constructor_min_points,constructor_max_points,constructor_negative_score_count,constructor_zero_score_count,driver_event_mean_zscore,driver_extreme_event,constructor_event_mean_zscore,constructor_extreme_event
2025,12,British Grand Prix,2025-07-06,normal,20,20,151,7.55,6,-20,45,6,1,10,10,237,23.7,20.5,-35,90,1,0,-1.46334902678,False,-1.21140726745,False
2025,13,Belgian Grand Prix,2025-07-27,sprint,20,20,267,13.35,8,-14,42,3,1,10,10,358,35.8,25.5,-13,93,1,0,0.545254093634,False,0.835245121736,False
2025,14,Hungarian Grand Prix,2025-08-03,normal,20,20,234,11.7,10.5,-18,37,2,1,10,10,358,35.8,37,-9,100,1,0,-0.026158863035,False,0.835245121736,False
2025,15,Dutch Grand Prix,2025-08-31,normal,20,20,227,11.35,11,-16,45,3,3,10,10,310,31,36.5,-4,52,1,0,-0.147367672025,False,0.023349959083,False
2025,16,Italian Grand Prix,2025-09-07,normal,20,20,202,10.1,6,-20,46,3,2,10,10,307,30.7,25,-11,97,2,0,-0.580256275562,False,-0.0273934885828,False
2025,17,Azerbaijan Grand Prix,2025-09-21,normal,20,20,217,10.85,6.5,-16,45,3,0,10,10,308,30.8,22.5,-2,85,1,0,-0.32052311344,False,-0.0104790060275,False
2025,18,Singapore Grand Prix,2025-10-05,normal,20,20,224,11.2,7,-8,35,2,0,10,10,305,30.5,26.5,-4,67,1,0,-0.19931430445,False,-0.0612224536933,False
2025,19,United States Grand Prix,2025-10-19,sprint,20,20,269,13.45,11.5,-16,48,5,0,10,10,365,36.5,26,-12,92,1,0,0.579885181917,False,0.953646499623,False
2025,20,Mexico City Grand Prix,2025-10-26,normal,20,20,228,11.4,12.5,-18,36,4,0,10,10,320,32,32.5,-10,86,1,0,-0.130052127884,False,0.192494784636,False
2025,21,São Paulo Grand Prix,2025-11-09,sprint,20,20,275,13.75,13.5,-24,63,6,0,10,10,394,39.4,44.5,-9,91,2,0,0.683778446766,False,1.44416649373,False
