season,round,event_name,event_date,entity_type,entity_id,entity_name,total_fantasy_points,sprint_points,sprint_qualifying_points,extra_sprint_points,base_weekend_points,current_price,data_source,observation_valid,exclusion_reason
2026,2,Chinese Grand Prix,2026-03-15,driver,piastri,Oscar Piastri,-7.0,7.0,,7.0,-14.0,24.1,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,piastri,Oscar Piastri,41.0,9.0,,9.0,32.0,24.1,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,piastri,Oscar Piastri,12.0,6.0,,6.0,6.0,24.1,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,piastri,Oscar Piastri,19.0,8.0,,8.0,11.0,24.1,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,piastri,Oscar Piastri,21.0,3.0,,3.0,18.0,24.1,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,russell,George Russell,45.0,12.0,,12.0,33.0,27.6,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,russell,George Russell,42.0,10.0,,10.0,32.0,27.6,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,russell,George Russell,4.0,9.0,,9.0,-5.0,27.6,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,russell,George Russell,44.0,14.0,,14.0,30.0,27.6,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,russell,George Russell,32.0,8.0,,8.0,24.0,27.6,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,sainz,Carlos Sainz,28.0,12.0,,12.0,16.0,9.8,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,sainz,Carlos Sainz,19.0,4.0,,4.0,15.0,9.8,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,sainz,Carlos Sainz,11.0,,,,,9.8,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,9,British Grand Prix,2026-07-05,driver,sainz,Carlos Sainz,8.0,,,,,9.8,Formula 1 Fantasy playerstats,False,both_sprint_components_missing
2026,12,Dutch Grand Prix,2026-08-23,driver,sainz,Carlos Sainz,7.0,3.0,,3.0,4.0,9.8,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,stroll,Lance Stroll,-14.0,5.0,,5.0,-19.0,3.0,Formula 1 Fantasy playerstats,True,
2026,4,Miami Grand Prix,2026-05-03,driver,stroll,Lance Stroll,17.0,10.0,,10.0,7.0,3.0,Formula 1 Fantasy playerstats,True,
2026,5,Canadian Grand Prix,2026-05-24,driver,stroll,Lance Stroll,11.0,3.0,,3.0,8.0,3.0,Formula 1 Fantasy playerstats,True,
2026,9,British Grand Prix,2026-07-05,driver,stroll,Lance Stroll,7.0,3.0,,3.0,4.0,3.0,Formula 1 Fantasy playerstats,True,
2026,12,Dutch Grand Prix,2026-08-23,driver,stroll,Lance Stroll,-10.0,2.0,,2.0,-12.0,3.0,Formula 1 Fantasy playerstats,True,
2026,2,Chinese Grand Prix,2026-03-15,driver,tsunoda,Yuki Tsunoda,,,,,,9.7,missing,False,missing_canonical_event_asset_row
2026,4,Miami Grand Prix,2026-05-03,driver,tsunoda,Yuki Tsunoda,,,,,,9.7,missing,False,missing_canonical_event_asset_row
2026,5,Canadian Grand Prix,2026-05-24,driver,tsunoda,Yuki Tsunoda,,,,,,9.7,missing,False,missing_canonical_event_asset_row
2026,9,British Grand Prix,2026-07-05,driver,tsunoda,Yuki Tsunoda,,,,,,9.7,missing,False,missing_canonical_event_asset_row
2026,12,Dutch Grand Prix,2026-08-23,driver,tsunoda,Yuki Tsunoda,5.0,-1.0,,-1.0,6.0,9.7,Formula 1 Fantasy playerstats,True,
